"RAMO","UNIDAD","AÑO","FINALIDAD","FUNCION","SUBFUNCION","REASIGNACION","ACTIVIDAD
INSTITUCIONAL","PROGRAMA PRESUPUESTARIO","PARTIDA DE GASTO","ORIGINAL","ENERO","FEBRERO","MARZO","ABRIL","MAYO","JUNIO","JULIO","AGOSTO","SEPTIEMBRE","OCTUBRE","NOVIEMBRE","DICIEMBRE"
"11","MGC","2023","2","5","2","0","4","E047","27201","  25,000.00 ","0","0","0","0","0","0","0","25000","0","0","0","0"
"11","MGC","2023","2","5","2","0","4","E047","29101","  41,585.00 ","0","10000","0","10000","0","0","0","0","0","21585","0","0"
"11","MGC","2023","2","5","2","0","4","E047","29201","  72,895.00 ","0","0","35000","0","0","37895","0","0","0","0","0","0"
"11","MGC","2023","2","5","2","0","4","E047","29401","  24,550.00 ","0","12000","0","12550","0","0","0","0","0","0","0","0"
"11","MGC","2023","2","5","2","0","4","E047","29601","  150,000.00 ","0","0","75000","0","0","0","75000","0","0","0","0","0"
"11","MGC","2023","2","5","2","0","4","E047","31401","  54,005.00 ","0","4500","4500","4500","4500","4500","4500","4500","4500","4500","4500","9005"
"11","MGC","2023","2","5","2","0","4","E047","32302","  68,373.00 ","0","0","0","68373","0","0","0","0","0","0","0","0"
"11","MGC","2023","2","5","2","0","4","E047","33104","  2,575,616.00 ","0","750000","750000","500000","500000","61632","0","0","0","13984","0","0"
"11","MGC","2023","2","5","2","0","4","E047","33401","  705,650.00 ","0","0","200000","0","200000","0","0","200000","0","105650","0","0"
"11","MGC","2023","2","5","3","0","5","E047","33603","  45,900.00 ","0","0","0","45900","0","0","0","0","0","0","0","0"
"11","MGC","2023","2","5","2","0","4","E047","33603","  400.00 ","0","0","0","400","0","0","0","0","0","0","0","0"
"11","MGC","2023","2","5","2","0","4","E047","33801","  241,651.00 ","0","0","50000","0","50000","0","50000","0","0","0","91651","0"
"11","MGC","2023","2","5","2","0","4","E047","33901","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","MGC","2023","2","5","2","0","4","E047","34501","  888,390.00 ","0","15000","300000","0","0","15000","300000","228390","15000","0","0","15000"
"11","MGC","2023","2","5","2","0","4","E047","35501","  315,859.00 ","0","78965","0","0","78965","0","0","78965","0","78964","0","0"
"11","MGC","2023","2","5","2","0","4","E047","35801","  808,197.00 ","0","77000","77000","77000","77000","77000","77000","77000","77000","77000","77000","38197"
"11","MGC","2023","2","5","3","0","5","E047","35901","  150,000.00 ","0","0","0","0","75000","0","0","0","0","75000","0","0"
"11","MGC","2023","2","5","2","0","4","E047","37204","  20,810.00 ","0","2000","2000","2000","2000","2000","2000","2000","2000","2000","2810","0"
"11","MGC","2023","2","5","2","0","4","E047","39202","  275,994.00 ","0","2100","3000","65000","2200","65000","2300","3100","65000","3200","65094","0"
"11","MGC","2023","2","5","2","0","4","E047","39801","  1,963,532.00 ","0","65000","365000","148532","70000","365000","70000","375000","275000","70000","80000","80000"
"11","MGC","2023","2","5","2","0","4","E047","39910","0","0","0","0","0","0","0","0","0","0","0","0","0"
